use,                     korzystac
time,krotnie
customs,obyczaje
lazy,leniwy
confirmed,potwierdzone
have/possess, posiadac
affiliation, przynaleznosci
basic, podstawowe
citizenship, obywatelstwo
settlement,osiedlanie
visit, zwiedac
election, wyborczych
impressions, wrazenia
conditions, warunki
causes, powoduje
sure, jasne
health care, opieki
presence, obecnosci
show/prove, wykazac
submit/introduce, przedstawic
worthily/according too, godnie
treatment , leczenie
destiny, przeznacenie
level, poziomie
to fear, lekac
concerns, obawy
director, rezyser
to rise up, powstanie
special/especially/particularly, szczegolne
draw/gain/to benefit/to profit, czerpac
necessarily, koniecnie
grounds, powody
main, glowne
sentence/opinion, zdania
broke out, wybuchlo
celebration/to care, obchodow
interview, wywiad
said, powedzianne
insurgents, powstancow
awesome, nie samowite
against him, poczet niego
events, wydarzenia
ancestry, przodkow
reasons/causes, powod/powoduje
previous, poprzedniego
they contain, zawieraja
started, rozpoczela
directly, owprost
declaration/faith, wyznanie
continues, trwa
incentive, motywacyjna
affairs, sprawamie
counter, przeciwny
speech/statement, wystapienie
unfortunately, niestety
independence, niepodleglosci
diary, dziennik
posts, wypowiedzi
cases, przypadkow
acquaintance, znajomy
i develop, rozwijam
lodges, loze
locker rooms, szatnie
however, jednak
e.g , na przyklad
explains, wyjasnia
responsible, odpowiedzialny
I would like to, pragne
average, srednia
despite, mimo
master, doskonalisz
toppled, stoczyl
vendor, sprzedawca
I survive, przezyje
useful, przydatne
development, rozwoju
constitute/to be/to pose, stanowic
passes,  mija
conscious, swiadomy
At the same time/simultaneously, jednoczesnie
Subconcious, podswiadomosc
Met/fulfilled, spelnione
show/to prove, wykazac
save, oszczedic
Astringent(Sharp or severe), sciagajace
complain, narzekamy
up to date, na biezaco
if not, skoro nie
i urge you, zachecam was
angry, zdenerwowany
appeal, spodoba
fiance, narzeczona
clearly, wyraznie
because, poniewaz
indeed, istotnie
worry, przejmowac 
relationship, zwiasku
story, opowiadania
summaries, streszczenia
riddles, zagadka
you go out, wyszliscie
exaggeration, przesady
intersection, skrzyzowania
madness, szalenstwem
exceptional, wyjatkowi
basically, zasadzie
betrayal,zdrada
promise, obiecuje
summarize,strescic
intention/design/notion, zamiar
tour, wycieczka
expenses, wydatki
substitute, podstawic
help, poradzic
beginners, poczatkujacy
path, sciezka
instead, zamiast 
monsters, potworow
entitled, pod tytulem
ruthless, bezwzgledny
honestly/frankly/candidly, szczerze
way, sposob
acquaintence, znajomy
howerever, jednak
e.g, na przyklad
refreshed,  wyspany
honest, ucziwy
disgusting, obrzydliwy
compulsary, obowiazkowym
simplify, upraszczac
worry, przejmujcie
application, wniosku
pictures, zdjeca
still, nadal
they think, uwazaja
individual, poszczegolne
assured, zapiewniony
championship/Champion, mistrzostwo/mistrz
this applied, odnosilo sie
resettlement, przesedlenie
population, ludnosc
we compare, porownamy
native, rodowity
teaching, uczac
created, stworzone
get used to, przywyknac
chants, intonuje
overcome, przezwyciezyc
allergie, uczuleni
effective action, skuteczne dzialanie
basically, ogolnie
to grasp, ogarnac
discard, zlewac
especially, zlaszcza
capabilities, mozliwosci
convince/persuade, przekonac
the heart, sedna
failure 1, niepowodzenie
failuer 2, porazki
eternally, wiecznie
correct/appropriate/right/propper, wlasciwe
personal development, rozwoju osobistego
glance, skrocie
victory, zwyciestwo
i endured, wytzymalem
i sensed, wyczulem
following/imitates, nasladuja
crashes, wywala
encounter 1, spotkanie
comfort, pociecha
you earn/to win/to rack up, zdobedziecie
change/small, drobne
general to specific, ogolu do szczegolu
accurately, dokladnie
benefits, korzysci
cooperation, wspoldzialania
i described/determine/evaluate, okreslilem
they not maastered, nie opanowali
weigh, odwazyc
experience, doswiadczenie
performs/ do, wykonuje
easier, latwiejsze
end of the period, koniec kropka
cross, przekreslenie
by me, wedlug mnie
quite simply, dosc prosto
brain, mozg
joint actions, wspolne dzialania
i wish you good luck, ja zycze wam powodzenia
choices, wybory
confess, spowiadac
too, zbyt
to leave/abandon/reduce, opuszczac
before/by, przed/przez
i decided, postanowilam
ability, zdolnosci
advice, porady
saga, sadze
investigation, zbadania
more than, ponad
volunteers, ochotnikow
disappointed, rozczarowany
correct, poprawny
focus, skupic
difference, roznica
different, inny
to report, zglaszac/zglosic
to present oneself, zglaszac sie/zglosic sie
angry, gniewac/rozgniewac sie
to name, nazywac/nazwac
to be named, nazywac sie 
to be persuaded, namawial
to want, chciec
malnourished, niedozywionych
you sneaky little theif, ty podstepny zlodziej
tease,dokuczac
forget, zapomnij
lost interest, odechcialo sie
decorated, urzadzona
eating, jedzaca
seperate, oddzielny
food, zywnosc
tool, narzedziem
send, przeslac
together, razem
reached, doceiraly
limited, ograniczona
escape, ucieczki
industry, przemyslem
attitude, postawa
prove, udowodnic
proof, dowod 
accomodate, pomieszczac
imagination, wyobraznia
squeeze, sciskac
emotion, wzruszenie
sympathy, wspolczucie
to prize/value/appreciate, cenic/docenic
appraise/evaluate/value/rate, ocenic
overrate, przecenic
no longer care for, odechciec sie
have a mind to/long for/feel like, zachciec sie
